evidence_id	source_id	start_seconds	end_seconds	topic_tags	evidence_level	review_status	promotion_target
pilot-001-lh_bili_season_bv18tmub4e8d-seg-001	LH_BILI_SEASON_BV18TMUB4E8D	0		smash,high_clear,rear_footwork,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-002-lh_bili_season_bv1x9qbbbetx-seg-001	LH_BILI_SEASON_BV1X9QBBBETX	0		smash,high_clear,rear_footwork,hip_rotation,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-003-lh_bili_season_bv1aykwbjeuv-seg-001	LH_BILI_SEASON_BV1AYKWBJEUV	0		smash,high_clear,rear_footwork,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-004-lh_bili_season_bv1crftzbek7-seg-001	LH_BILI_SEASON_BV1CRFTZBEK7	0		smash,high_clear,rear_footwork,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-005-lh_bili_season_bv1hbyrbcece-seg-001	LH_BILI_SEASON_BV1HBYRBCECE	0		smash,high_clear,hip_rotation,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-006-lh_bili_season_bv1v6zabtekt-seg-001	LH_BILI_SEASON_BV1V6ZABTEKT	0		smash,high_clear,top_elbow,power_framework,match_transfer	content_model_candidate	pending_human_review	none_until_reviewed
pilot-007-lh_bili_season_bv1km41147m1-seg-001	LH_BILI_SEASON_BV1KM41147M1	0		high_clear,hip_rotation,internal_rotation,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-008-lh_bili_season_bv19c4y1s7z2-seg-001	LH_BILI_SEASON_BV19C4Y1S7Z2	0		smash,high_clear,internal_rotation,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
pilot-009-lh_bili_season_bv1iz421b7x8-seg-001	LH_BILI_SEASON_BV1IZ421B7X8	0		smash,high_clear,internal_rotation,power_framework	needs_content_model_review	model_not_run	none_until_reviewed
pilot-010-lh_bili_season_bv1a5zgyqesp-seg-001	LH_BILI_SEASON_BV1A5ZGYQESP	0		high_clear,rear_footwork,power_framework,match_transfer	content_model_candidate	pending_human_review	none_until_reviewed
